x, oracle, model
-0.771210718568415, -0.293353344350318, -0.292399581213728
-0.77085303921669, -0.292754116735168, -0.291834137003299
-0.770301637279464, -0.29183195965891, -0.290963996563571
-0.769253406033333, -0.290084317617677, -0.289315018027184
-0.769124360028707, -0.289869657541884, -0.289112483626067
-0.767770452919809, -0.287623971607799, -0.286993733419618
-0.76766353519949, -0.2874471319683, -0.286826895384555
-0.76755503595342, -0.287267751510876, -0.286657661041125
-0.7669374954066, -0.28624821720029, -0.285695808362813
-0.766761436266549, -0.28595799852642, -0.285422013587492
-0.766517045285485, -0.285555469669456, -0.285042267427949
-0.766384659499962, -0.285337580820546, -0.284836712257335
-0.766062327132891, -0.284807535009337, -0.284336673821904
-0.765676735063605, -0.284174337562289, -0.283739330362828
-0.764533143402694, -0.282301982921176, -0.281973033753124
-0.764193265813448, -0.281747124425014, -0.281449614172379
-0.763671025033783, -0.280895988310099, -0.280646711234585
-0.763497915516894, -0.280614241697859, -0.280380932585536
-0.762847540243435, -0.279557419165359, -0.279384011361429
-0.761551558542752, -0.277459537974088, -0.27740505878687
-0.76141154294264, -0.277233524534719, -0.277191858911456
-0.761241353019241, -0.276958970989186, -0.276932870956168
-0.760620250989743, -0.275958554542703, -0.275989172566954
-0.757341594348501, -0.270717978226675, -0.271045639109282
-0.75719536654992, -0.270485826994002, -0.270826641003656
-0.756807378352962, -0.269870508422642, -0.270246181557302
-0.756422112590336, -0.269260443152937, -0.269670672658969
-0.756039039720731, -0.268654774096346, -0.269099305447948
-0.755019345836514, -0.26704704003412, -0.267582594938909
-0.754171050224075, -0.265714506782571, -0.266325467118881
-0.751685102321349, -0.261835359813481, -0.262665597776396
-0.751614651237543, -0.261725986660854, -0.262562401398797
-0.750121006605557, -0.259414403795952, -0.260381278862303
-0.749535261811037, -0.258511674703138, -0.259529450952963
-0.749071703410577, -0.257798760620645, -0.258856715324567
-0.749024784178799, -0.257726676847759, -0.258788693051635
-0.748646099322157, -0.257145387341251, -0.258240148949335
-0.747070037946498, -0.254735609362793, -0.255965983023231
-0.747006487129724, -0.254638762186741, -0.255874581196019
-0.74656817358524, -0.253971478951204, -0.255244806249316
-0.74653841199032, -0.253926213127563, -0.255202084165904
-0.746204002951689, -0.253417969081362, -0.254722395248626
-0.74586186495005, -0.252898689906372, -0.254232279760659
-0.743638624961469, -0.249541870189207, -0.251063691612537
-0.743476110485386, -0.249297680510192, -0.250833173947268
-0.742832764830506, -0.248332591647897, -0.249922090854301
-0.742721528847295, -0.248165981825637, -0.249764799680858
-0.742566882597255, -0.247934477368219, -0.249546241148021
-0.742376486725994, -0.24764965637818, -0.249277343823406
-0.741565323904863, -0.246438681247495, -0.248134024312145
-0.741464083373449, -0.246287821856124, -0.247991587814374
-0.741421811726106, -0.246224850975306, -0.247932132410343
-0.741373246788484, -0.2461525185842, -0.247863837858795
-0.740756732319942, -0.245235532167468, -0.246998016180369
-0.739406890687432, -0.243235878515518, -0.245109774492473
-0.73812891689743, -0.241352868310635, -0.243331466318185
-0.737229215042795, -0.240033140390456, -0.242084992964225
